idx,code,input,name_1,name_2,date_1,date_2,time_1,time_2,worker,date
1,b1,tôi tạ văn sáng sáng hôm trước có đặt hẹn với bác sĩ ạ,tạ văn sáng,,,,,,minh,12/07
2,b1,phan văn tài em cần book lịch,phan văn tài em,,,,,,,
3,b1,sáng hôm qua con em trần đình quý có gọi điện cho bs á,trần đình quý,,,,,,,
4,b1,em muốn đặt khám cho mẹ em thái tự mẫu,thái tự mẫu,,,,,,,
5,b1,"bot ơi cho đặt cái lịch với, tui tên trần nguyễn hiền",trần nguyễn hiền,,,,,,,
6,b1,tôi tên nguyễn hoàng nam nay có hẹn vs bác sỹ,nguyễn hoàng nam,,,,,,,
7,b1,"trước tui có đặt lịch rùi á, tên vương gia lương",vương gia lương,,,,,,,
8,b1,"tôi tên trần phương nam, muốn đặt hẹn vs bệnh viên",trần phương nam,,,,,,,
9,b1,ba em nguyễn hạn vũ có book lịch cho em vào ngày 2/7 ,nguyễn hạn vũ,,,,,,,
10,b1,mình muốn đặt lịch khám cho bà mình tên lê thị diệp,lê thị diệp,,,,,,,
11,b2,tôi tên Nguyễn Thái Thành cần khám họng do mấy nay ho quá,Nguyễn Thái Thành,,,,,,minh,12/07
12,b2,cần đặt hẹn với bs Tô Quang Trung khoa cấp cứu gấp,Tô Quang Trung,,,,,,,
13,b2,bác sĩ Phạm Thị Yến Trang có rãnh vào thứ 3 tuần này không ạ,Phạm Thị Yến Trang,,,,,,,
14,b2,"Đào Hiếu là tên của thằng em tôi, nó muốn đặt cái lịch vs bs",Đào Hiếu,,,,,,,
15,b2,họ và tên là Trần Kiều Trang cần khám đặt lại lịch khám tai mũi họng,Trần Kiều Trang,,,,,,,
16,b2,tôi muốn đặt lịch khám bệnh cho ba tôi là Phạm Long,Phạm Long,,,,,,,
17,b2,tôi là Bằng Kiều và tôi muốn đặt lịch khám thì làm là gì,Bằng Kiều,,,,,,,
18,b2,"tôi được biết bs Phạm Hải Long giỏi lắm, tôi muốn được khám vs bác thì làm gì",Phạm Hải Long,,,,,,,
19,b2,đặt lịch khám da liễu cho em gái Lý Quốc Nữ,Lý Quốc Nữ,,,,,,,
20,b2,"họ và tên mình là Vương Gia Hân, mình muốn đặt lịch khám da liễu vào tuần sau",Vương Gia Hân,,,,,,,
21,b5,đặt lịch cho trần be ron,trần be ron,,,,,,minh,12/07
22,b5,tôi là nguyễn văn soul muốn đi khám bệnh,nguyễn văn soul,,,,,,,
23,b5,"tôi nguyễn văn xel , khám bệnh đặt sao vậy",nguyễn văn xel,,,,,,,
24,b5,cần đặt lịch khám cho em họ là nay h' ui,nay h' ui,,,,,,,
25,b5,đội slna muốn đặt lịch khám cho hlv alex ferguson,alex ferguson,,,,,,,
